claim_id,location,claim_type,value_paper
title_n_experiments,Title,pipeline,59
abstract_election_year,Abstract,definitional,2016
abstract_n_ads,Abstract,pipeline,49
abstract_n_experiments,Abstract,pipeline,59
abstract_n_respondents,Abstract,pipeline,34000
intro_months_span,Introduction,pipeline,8
intro_n_ads,Introduction,pipeline,49
intro_election_year,Introduction,definitional,2016
intro_n_ads_multiweek,Introduction,pipeline,49
intro_fav_ate,Introduction,pipeline,0.05
intro_favorability_scale,Introduction,definitional,5
intro_fav_sd,Introduction,pipeline,0.07
intro_vc_ate,Introduction,pipeline,0.7
intro_vc_sd,Introduction,pipeline,2
desc_effects_exclude_large,Introduction,descriptive,
methods_election_year,Materials and Methods,definitional,2016
methods_n_weeks,Materials and Methods,pipeline,29
methods_weekly_n_small,Materials and Methods,pipeline,1000
methods_weekly_n_large,Materials and Methods,pipeline,2000
methods_irb_number,Materials and Methods,structural,16-000691
methods_attrition_rate,Materials and Methods,pipeline,42
methods_n_attrition_tests,Materials and Methods,pipeline,29
methods_n_sig_unadjusted,Materials and Methods,pipeline,3
methods_n_sig_holm,Materials and Methods,pipeline,0
methods_n_sig_benjamini_hochberg,Materials and Methods,pipeline,0
methods_n_deployments_anti_trump,Materials and Methods,pipeline,30
methods_n_deployments_anti_clinton,Materials and Methods,pipeline,11
methods_n_deployments_pro_clinton,Materials and Methods,pipeline,8
methods_n_deployments_pro_trump,Materials and Methods,pipeline,3
methods_primary_period_start,Materials and Methods,structural,14 March
methods_primary_period_end,Materials and Methods,structural,6 June
methods_n_primary_conditions,Materials and Methods,definitional,4
methods_n_primary_videos,Materials and Methods,definitional,2
methods_convention_period_start,Materials and Methods,structural,20 June
methods_convention_period_end,Materials and Methods,structural,15 August
methods_both_condition_reintroduced,Materials and Methods,structural,26 September
methods_manip_control_min,Materials and Methods,pipeline,2
methods_manip_control_max,Materials and Methods,pipeline,4
methods_manip_treated_min,Materials and Methods,pipeline,92
methods_manip_treated_max,Materials and Methods,pipeline,95
methods_favorability_scale,Materials and Methods,definitional,5
methods_pid_scale_points,Materials and Methods,definitional,7
methods_ideology_scale_points,Materials and Methods,definitional,5
methods_single_study_n,Materials and Methods,pipeline,1000
results_ci_level_figure_1,Results,definitional,95
results_n_experiments,Results,pipeline,59
results_fav_meta_estimate,Results,pipeline,0.049
results_favorability_scale_low,Results,definitional,1
results_favorability_scale_high,Results,definitional,5
desc_fav_meta_significant,Results,descriptive,
results_vc_meta_estimate,Results,pipeline,0.7
desc_vc_meta_not_significant,Results,descriptive,
results_fav_homogeneity_p,Results,pipeline,0.09
results_vc_homogeneity_p,Results,pipeline,0.07
